sku,category,abc_class,launch_period,predecessor_sku,uom
SKU_0001,SNACK,B,2023-01,,PCS
SKU_0002,DAIRY,C,2023-01,,PCS
SKU_0003,HOUSEHOLD,A,2023-01,,PCS
SKU_0004,BEVERAGE,B,2023-01,,PCS
SKU_0005,SNACK,C,2023-01,,PCS
SKU_0006,DAIRY,A,2023-01,,PCS
SKU_0007,HOUSEHOLD,B,2023-01,,PCS
SKU_0008,BEVERAGE,C,2023-01,,PCS
SKU_0009,SNACK,A,2023-01,,PCS
SKU_0010,DAIRY,B,2023-01,,PCS
SKU_0011,HOUSEHOLD,C,2023-01,,PCS
SKU_0012,BEVERAGE,A,2023-01,,PCS
SKU_0013,SNACK,B,2023-01,,PCS
SKU_0014,DAIRY,C,2023-01,,PCS
SKU_0015,HOUSEHOLD,A,2023-01,,PCS
SKU_0016,BEVERAGE,B,2023-01,,PCS
SKU_0017,SNACK,C,2023-01,,PCS
SKU_0018,DAIRY,A,2023-01,,PCS
SKU_0019,HOUSEHOLD,B,2023-01,,PCS
SKU_0020,BEVERAGE,C,2023-01,,PCS
SKU_0021,SNACK,A,2023-01,,PCS
SKU_0022,DAIRY,B,2023-01,,PCS
SKU_0023,HOUSEHOLD,C,2023-01,,PCS
SKU_0024,BEVERAGE,A,2023-01,,PCS
SKU_0025,SNACK,B,2023-01,,PCS
SKU_0026,DAIRY,C,2025-08,,PCS
SKU_0027,HOUSEHOLD,A,2023-01,,PCS
SKU_0028,BEVERAGE,B,2023-01,,PCS
SKU_0029,SNACK,C,2025-08,,PCS
SKU_0030,DAIRY,A,2023-01,,PCS
SKU_0031,HOUSEHOLD,B,2023-01,,PCS
SKU_0032,BEVERAGE,C,2023-01,,PCS
SKU_0033,SNACK,A,2023-01,,PCS
SKU_0034,DAIRY,B,2023-01,,PCS
SKU_0035,HOUSEHOLD,C,2025-08,,PCS
SKU_0036,BEVERAGE,A,2024-10,SKU_0011,PCS
SKU_0037,SNACK,B,2023-01,,PCS
SKU_0038,DAIRY,C,2023-01,,PCS
SKU_0039,HOUSEHOLD,A,2023-01,,PCS
SKU_0040,BEVERAGE,B,2023-01,,PCS
