sku,location,period,qty,days_out_of_stock,discount_pct
SKU_0001,MSK,2023-01,243.0,0,0.0
SKU_0001,MSK,2023-02,179.0,0,0.0
SKU_0001,MSK,2023-03,168.0,0,0.0
SKU_0001,MSK,2023-04,204.0,0,0.0
SKU_0001,MSK,2023-05,153.0,0,0.0
SKU_0001,MSK,2023-06,226.0,0,0.0
SKU_0001,MSK,2023-07,283.0,0,0.0
SKU_0001,MSK,2023-08,290.0,0,0.0
SKU_0001,MSK,2023-09,268.0,0,0.0
SKU_0001,MSK,2023-10,330.0,0,0.0
SKU_0001,MSK,2023-11,1172.0,0,25.0
SKU_0001,MSK,2023-12,334.0,0,0.0
SKU_0001,MSK,2024-01,281.0,0,0.0
SKU_0001,MSK,2024-02,282.0,0,0.0
SKU_0001,MSK,2024-03,241.0,0,0.0
SKU_0001,MSK,2024-04,185.0,0,0.0
SKU_0001,MSK,2024-05,230.0,0,0.0
SKU_0001,MSK,2024-06,256.0,0,0.0
SKU_0001,MSK,2024-07,281.0,0,0.0
SKU_0001,MSK,2024-08,320.0,0,0.0
SKU_0001,MSK,2024-09,350.0,0,0.0
SKU_0001,MSK,2024-10,385.0,0,0.0
SKU_0001,MSK,2024-11,1159.0,0,25.0
SKU_0001,MSK,2024-12,316.0,0,0.0
SKU_0001,MSK,2025-01,318.0,0,0.0
SKU_0001,MSK,2025-02,278.0,0,0.0
SKU_0001,MSK,2025-03,279.0,0,0.0
SKU_0001,MSK,2025-04,232.0,0,0.0
SKU_0001,MSK,2025-05,260.0,0,0.0
SKU_0001,MSK,2025-06,299.0,0,0.0
SKU_0001,MSK,2025-07,303.0,0,0.0
SKU_0001,MSK,2025-08,363.0,0,0.0
SKU_0001,MSK,2025-09,388.0,0,0.0
SKU_0001,MSK,2025-10,475.0,0,0.0
SKU_0001,MSK,2025-11,391.0,0,0.0
SKU_0001,MSK,2025-12,393.0,0,0.0
SKU_0002,MSK,2023-01,26.0,0,0.0
SKU_0002,MSK,2023-02,34.0,0,0.0
SKU_0002,MSK,2023-03,0.0,0,0.0
SKU_0002,MSK,2023-04,0.0,0,0.0
SKU_0002,MSK,2023-05,0.0,0,0.0
SKU_0002,MSK,2023-06,0.0,0,0.0
SKU_0002,MSK,2023-07,0.0,0,0.0
SKU_0002,MSK,2023-08,0.0,0,0.0
