sku,location,period,qty
SKU_0001,MSK,2023-01,243
SKU_0001,MSK,2023-02,179
SKU_0001,MSK,2023-03,168
SKU_0001,MSK,2023-04,204
SKU_0001,MSK,2023-05,153
SKU_0001,MSK,2023-06,226
SKU_0001,MSK,2023-07,283
SKU_0001,MSK,2023-08,290
SKU_0001,MSK,2023-09,268
SKU_0001,MSK,2023-10,330
SKU_0001,MSK,2023-11,1172
SKU_0001,MSK,2023-12,334
SKU_0001,MSK,2024-01,281
SKU_0001,MSK,2024-02,282
SKU_0001,MSK,2024-03,241
SKU_0001,MSK,2024-04,185
SKU_0001,MSK,2024-05,230
SKU_0001,MSK,2024-06,256
SKU_0001,MSK,2024-07,281
SKU_0001,MSK,2024-08,320
SKU_0001,MSK,2024-09,350
SKU_0001,MSK,2024-10,385
SKU_0001,MSK,2024-11,1159
SKU_0001,MSK,2024-12,316
SKU_0001,MSK,2025-01,318
SKU_0001,MSK,2025-02,278
SKU_0001,MSK,2025-03,279
SKU_0001,MSK,2025-04,232
SKU_0001,MSK,2025-05,260
SKU_0001,MSK,2025-06,299
SKU_0001,MSK,2025-07,303
SKU_0001,MSK,2025-08,363
SKU_0001,MSK,2025-09,388
SKU_0001,MSK,2025-10,475
SKU_0001,MSK,2025-11,391
SKU_0001,MSK,2025-12,393
SKU_0002,MSK,2023-01,26
SKU_0002,MSK,2023-02,34
SKU_0002,MSK,2023-03,0
SKU_0002,MSK,2023-04,0
SKU_0002,MSK,2023-05,0
SKU_0002,MSK,2023-06,0
SKU_0002,MSK,2023-07,0
SKU_0002,MSK,2023-08,0
SKU_0002,MSK,2023-09,0
SKU_0002,MSK,2023-10,0
SKU_0002,MSK,2023-11,29
SKU_0002,MSK,2023-12,26
SKU_0002,MSK,2024-01,0
SKU_0002,MSK,2024-02,0
SKU_0002,MSK,2024-03,0
SKU_0002,MSK,2024-04,0
SKU_0002,MSK,2024-05,45
SKU_0002,MSK,2024-06,47
SKU_0002,MSK,2024-07,0
SKU_0002,MSK,2024-08,41
SKU_0002,MSK,2024-09,0
SKU_0002,MSK,2024-10,0
SKU_0002,MSK,2024-11,0
SKU_0002,MSK,2024-12,28
SKU_0002,MSK,2025-01,0
SKU_0002,MSK,2025-02,0
