sku,location,period,stock_end_qty,days_out_of_stock
SKU_0001,MSK,2023-01,174,0
SKU_0001,MSK,2023-02,150,0
SKU_0001,MSK,2023-03,193,0
SKU_0001,MSK,2023-04,232,0
SKU_0001,MSK,2023-05,199,0
SKU_0001,MSK,2023-06,126,0
SKU_0001,MSK,2023-07,503,0
SKU_0001,MSK,2023-08,153,0
SKU_0001,MSK,2023-09,141,0
SKU_0001,MSK,2023-10,135,0
SKU_0001,MSK,2023-11,2056,0
SKU_0001,MSK,2023-12,575,0
SKU_0001,MSK,2024-01,499,0
SKU_0001,MSK,2024-02,231,0
SKU_0001,MSK,2024-03,292,0
SKU_0001,MSK,2024-04,265,0
SKU_0001,MSK,2024-05,130,0
SKU_0001,MSK,2024-06,414,0
SKU_0001,MSK,2024-07,318,0
SKU_0001,MSK,2024-08,374,0
SKU_0001,MSK,2024-09,487,0
SKU_0001,MSK,2024-10,480,0
SKU_0001,MSK,2024-11,1199,0
SKU_0001,MSK,2024-12,187,0
SKU_0001,MSK,2025-01,510,0
SKU_0001,MSK,2025-02,429,0
SKU_0001,MSK,2025-03,490,0
SKU_0001,MSK,2025-04,360,0
SKU_0001,MSK,2025-05,458,0
SKU_0001,MSK,2025-06,186,0
SKU_0001,MSK,2025-07,517,0
SKU_0001,MSK,2025-08,377,0
SKU_0001,MSK,2025-09,345,0
SKU_0001,MSK,2025-10,647,0
SKU_0001,MSK,2025-11,182,0
SKU_0001,MSK,2025-12,510,0
SKU_0002,MSK,2023-01,27,0
SKU_0002,MSK,2023-02,36,0
SKU_0002,MSK,2023-03,1,0
SKU_0002,MSK,2023-04,1,0
SKU_0002,MSK,2023-05,1,0
SKU_0002,MSK,2023-06,2,0
SKU_0002,MSK,2023-07,1,0
SKU_0002,MSK,2023-08,1,0
SKU_0002,MSK,2023-09,1,0
SKU_0002,MSK,2023-10,1,0
SKU_0002,MSK,2023-11,25,0
SKU_0002,MSK,2023-12,35,0
SKU_0002,MSK,2024-01,1,0
SKU_0002,MSK,2024-02,1,0
SKU_0002,MSK,2024-03,1,0
SKU_0002,MSK,2024-04,1,0
SKU_0002,MSK,2024-05,75,0
SKU_0002,MSK,2024-06,65,0
SKU_0002,MSK,2024-07,1,0
SKU_0002,MSK,2024-08,63,0
SKU_0002,MSK,2024-09,1,0
SKU_0002,MSK,2024-10,2,0
SKU_0002,MSK,2024-11,1,0
SKU_0002,MSK,2024-12,20,0
SKU_0002,MSK,2025-01,2,0
SKU_0002,MSK,2025-02,1,0
SKU_0002,MSK,2025-03,0,0
SKU_0002,MSK,2025-04,1,0
SKU_0002,MSK,2025-05,1,0
SKU_0002,MSK,2025-06,1,0
SKU_0002,MSK,2025-07,1,0
SKU_0002,MSK,2025-08,1,0
SKU_0002,MSK,2025-09,1,0
SKU_0002,MSK,2025-10,62,0
SKU_0002,MSK,2025-11,1,0
SKU_0002,MSK,2025-12,2,0
SKU_0003,EKB,2023-01,275,0
SKU_0003,EKB,2023-02,183,0
SKU_0003,EKB,2023-03,266,0
SKU_0003,EKB,2023-04,178,0
SKU_0003,EKB,2023-05,148,0
SKU_0003,EKB,2023-06,265,0
SKU_0003,EKB,2023-07,356,0
SKU_0003,EKB,2023-08,353,0
SKU_0003,EKB,2023-09,167,0
SKU_0003,EKB,2023-10,327,0
SKU_0003,EKB,2023-11,502,0
SKU_0003,EKB,2023-12,167,0
SKU_0003,EKB,2024-01,646,0
SKU_0003,EKB,2024-02,180,0
SKU_0003,EKB,2024-03,132,0
SKU_0003,EKB,2024-04,259,0
SKU_0003,EKB,2024-05,308,0
SKU_0003,EKB,2024-06,92,0
SKU_0003,EKB,2024-07,427,0
SKU_0003,EKB,2024-08,262,0
SKU_0003,EKB,2024-09,333,0
SKU_0003,EKB,2024-10,408,0
SKU_0003,EKB,2024-11,368,0
SKU_0003,EKB,2024-12,414,0
SKU_0003,EKB,2025-01,365,0
SKU_0003,EKB,2025-02,183,0
SKU_0003,EKB,2025-03,221,0
SKU_0003,EKB,2025-04,520,0
SKU_0003,EKB,2025-05,108,0
SKU_0003,EKB,2025-06,125,0
SKU_0003,EKB,2025-07,226,0
SKU_0003,EKB,2025-08,190,0
SKU_0003,EKB,2025-09,193,0
SKU_0003,EKB,2025-10,148,0
SKU_0003,EKB,2025-11,410,0
SKU_0003,EKB,2025-12,518,0
SKU_0003,MSK,2023-01,717,0
SKU_0003,MSK,2023-02,307,0
SKU_0003,MSK,2023-03,892,0
SKU_0003,MSK,2023-04,757,0
SKU_0003,MSK,2023-05,787,0
SKU_0003,MSK,2023-06,805,0
SKU_0003,MSK,2023-07,883,0
SKU_0003,MSK,2023-08,455,0
SKU_0003,MSK,2023-09,305,0
SKU_0003,MSK,2023-10,1143,0
SKU_0003,MSK,2023-11,1202,0
SKU_0003,MSK,2023-12,939,0
SKU_0003,MSK,2024-01,940,0
SKU_0003,MSK,2024-02,638,0
SKU_0003,MSK,2024-03,999,0
SKU_0003,MSK,2024-04,724,0
SKU_0003,MSK,2024-05,548,0
SKU_0003,MSK,2024-06,239,0
SKU_0003,MSK,2024-07,964,0
SKU_0003,MSK,2024-08,1071,0
SKU_0003,MSK,2024-09,798,0
SKU_0003,MSK,2024-10,756,0
SKU_0003,MSK,2024-11,766,0
SKU_0003,MSK,2024-12,1038,0
SKU_0003,MSK,2025-01,878,0
SKU_0003,MSK,2025-02,1071,0
SKU_0003,MSK,2025-03,671,0
SKU_0003,MSK,2025-04,488,0
SKU_0003,MSK,2025-05,557,0
SKU_0003,MSK,2025-06,737,0
SKU_0003,MSK,2025-07,526,0
SKU_0003,MSK,2025-08,809,0
SKU_0003,MSK,2025-09,1107,0
SKU_0003,MSK,2025-10,344,0
SKU_0003,MSK,2025-11,1201,0
SKU_0003,MSK,2025-12,675,0
SKU_0004,MSK,2023-01,705,0
SKU_0004,MSK,2023-02,1038,0
SKU_0004,MSK,2023-03,1002,0
SKU_0004,MSK,2023-04,487,0
SKU_0004,MSK,2023-05,639,0
SKU_0004,MSK,2023-06,550,0
SKU_0004,MSK,2023-07,1099,0
SKU_0004,MSK,2023-08,1315,0
SKU_0004,MSK,2023-09,816,0
SKU_0004,MSK,2023-10,515,0
SKU_0004,MSK,2023-11,249,0
SKU_0004,MSK,2023-12,563,0
SKU_0004,MSK,2024-01,864,0
SKU_0004,MSK,2024-02,346,0
SKU_0004,MSK,2024-03,874,0
SKU_0004,MSK,2024-04,1430,0
SKU_0004,MSK,2024-05,372,0
SKU_0004,MSK,2024-06,942,0
SKU_0004,MSK,2024-07,362,0
SKU_0004,MSK,2024-08,1038,0
SKU_0004,MSK,2024-09,336,0
SKU_0004,MSK,2024-10,712,0
SKU_0004,MSK,2024-11,908,0
SKU_0004,MSK,2024-12,1064,0
SKU_0004,MSK,2025-01,802,0
SKU_0004,MSK,2025-02,1535,0
SKU_0004,MSK,2025-03,571,0
SKU_0004,MSK,2025-04,544,0
SKU_0004,MSK,2025-05,655,0
SKU_0004,MSK,2025-06,937,0
SKU_0004,MSK,2025-07,1200,0
SKU_0004,MSK,2025-08,337,0
SKU_0004,MSK,2025-09,1068,0
SKU_0004,MSK,2025-10,247,0
SKU_0004,MSK,2025-11,797,0
SKU_0004,MSK,2025-12,1138,0
SKU_0005,MSK,2023-01,890,0
SKU_0005,MSK,2023-02,1122,0
SKU_0005,MSK,2023-03,763,0
SKU_0005,MSK,2023-04,410,0
SKU_0005,MSK,2023-05,581,0
SKU_0005,MSK,2023-06,488,0
SKU_0005,MSK,2023-09,300,0
SKU_0005,MSK,2023-10,475,0
SKU_0005,MSK,2023-11,651,0
SKU_0005,MSK,2023-12,293,0
SKU_0005,MSK,2024-01,825,0
SKU_0005,MSK,2024-02,1019,0
SKU_0005,MSK,2024-03,757,0
SKU_0005,MSK,2024-04,688,0
SKU_0005,MSK,2024-05,371,0
SKU_0005,MSK,2024-06,349,0
SKU_0005,MSK,2024-07,549,0
SKU_0005,MSK,2024-09,637,0
SKU_0005,MSK,2024-10,429,0
SKU_0005,MSK,2024-11,604,0
SKU_0005,MSK,2024-12,874,0
SKU_0005,MSK,2025-01,967,0
SKU_0005,MSK,2025-02,900,0
SKU_0005,MSK,2025-03,831,0
SKU_0005,MSK,2025-04,730,0
SKU_0005,MSK,2025-06,668,0
SKU_0005,MSK,2025-07,807,0
SKU_0005,MSK,2025-08,818,0
SKU_0005,MSK,2025-09,587,0
SKU_0005,MSK,2025-10,517,0
SKU_0005,MSK,2025-11,1142,0
SKU_0005,MSK,2025-12,669,0
