sku,demand_type,horizon_step,model_primary,forecast_primary,forecast_ensemble,forecast_sarima,baseline_wma,baseline_snaive,forecast_lgb,period
SKU_0001,Smooth,1,Holt-Winters,323.45,320.72,0.0,408.8,318.0,497.07,2026-01
SKU_0001,Smooth,2,Holt-Winters,283.45,280.72,382.15,408.8,278.0,497.07,2026-02
SKU_0001,Smooth,3,Holt-Winters,284.45,281.72,0.0,408.8,279.0,497.07,2026-03
SKU_0002,Lumpy,1,TSB,6.37,3.19,6.37,7.0,0.0,25.65,2026-01
SKU_0002,Lumpy,2,TSB,6.37,3.19,6.37,7.0,0.0,25.65,2026-02
SKU_0002,Lumpy,3,TSB,6.37,3.19,6.37,7.0,0.0,25.65,2026-03
SKU_0003,Smooth,1,Holt-Winters,495.0,352.0,495.0,495.0,209.0,823.15,2026-01
SKU_0003,Smooth,2,Holt-Winters,495.0,490.5,495.0,495.0,486.0,823.15,2026-02
SKU_0003,Smooth,3,Holt-Winters,495.0,533.5,495.0,495.0,572.0,823.15,2026-03
SKU_0004,Smooth,1,Holt-Winters,718.42,664.21,732.93,621.5,610.0,729.64,2026-01
SKU_0004,Smooth,2,Holt-Winters,827.08,844.54,707.86,621.5,862.0,729.64,2026-02
SKU_0004,Smooth,3,Holt-Winters,954.75,907.87,1035.73,621.5,861.0,729.64,2026-03
SKU_0005,Smooth,1,Holt-Winters,713.63,711.31,777.51,628.3,709.0,738.22,2026-01
SKU_0005,Smooth,2,Holt-Winters,767.1,799.05,851.96,628.3,831.0,738.22,2026-02
SKU_0005,Smooth,3,Holt-Winters,785.59,725.79,795.42,628.3,666.0,738.22,2026-03
SKU_0006,Smooth,1,Holt-Winters,164.58,159.29,178.98,142.2,154.0,180.93,2026-01
SKU_0006,Smooth,2,Holt-Winters,149.58,154.79,143.7,142.2,160.0,180.93,2026-02
SKU_0006,Smooth,3,Holt-Winters,277.92,228.46,481.3,142.2,179.0,180.93,2026-03
SKU_0007,Smooth,1,Holt-Winters,1476.92,1382.46,1352.11,1970.2,1288.0,2061.21,2026-01
SKU_0007,Smooth,2,Holt-Winters,1396.92,1413.46,1484.48,1970.2,1430.0,2061.21,2026-02
SKU_0007,Smooth,3,Holt-Winters,1277.58,1219.79,1223.92,1970.2,1162.0,2061.21,2026-03
SKU_0008,Smooth,1,Holt-Winters,412.1,414.55,412.1,412.1,417.0,934.86,2026-01
SKU_0008,Smooth,2,Holt-Winters,412.1,829.05,412.1,412.1,1246.0,934.86,2026-02
SKU_0008,Smooth,3,Holt-Winters,412.1,637.05,412.1,412.1,862.0,934.86,2026-03
SKU_0009,Lumpy,1,TSB,1.75,5.88,1.75,0.0,10.0,25.65,2026-01
SKU_0009,Lumpy,2,TSB,1.75,0.88,1.75,0.0,0.0,25.65,2026-02
SKU_0009,Lumpy,3,TSB,1.75,0.88,1.75,0.0,0.0,25.65,2026-03
SKU_0010,Smooth,1,Holt-Winters,3233.76,3415.88,3796.01,4233.0,3598.0,3664.21,2026-01
SKU_0010,Smooth,2,Holt-Winters,2720.8,2695.9,3105.3,4233.0,2671.0,3664.21,2026-02
SKU_0010,Smooth,3,Holt-Winters,2771.48,2810.24,2685.13,4233.0,2849.0,3664.21,2026-03
SKU_0012,Smooth,1,Holt-Winters,771.61,778.3,786.89,634.0,785.0,738.22,2026-01
SKU_0012,Smooth,2,Holt-Winters,781.6,792.8,873.31,634.0,804.0,738.22,2026-02
SKU_0012,Smooth,3,Holt-Winters,939.95,959.48,937.3,634.0,979.0,738.22,2026-03
SKU_0013,Smooth,1,Holt-Winters,2067.69,1789.35,2014.34,1442.0,1511.0,1743.88,2026-01
SKU_0013,Smooth,2,Holt-Winters,2177.68,1739.84,2950.06,1442.0,1302.0,1743.88,2026-02
SKU_0013,Smooth,3,Holt-Winters,2502.03,2159.51,3006.06,1442.0,1817.0,1743.88,2026-03
SKU_0014,Smooth,1,Holt-Winters,1604.42,1515.21,1721.24,1322.7,1426.0,1646.43,2026-01
SKU_0014,Smooth,2,Holt-Winters,1514.74,1429.87,1522.22,1322.7,1345.0,1646.43,2026-02
SKU_0014,Smooth,3,Holt-Winters,1670.08,1441.04,1766.14,1322.7,1212.0,1646.43,2026-03
SKU_0015,Lumpy,1,TSB,1.8,4.9,1.8,0.0,8.0,22.8,2026-01
SKU_0015,Lumpy,2,TSB,1.8,0.9,1.8,0.0,0.0,22.8,2026-02
SKU_0015,Lumpy,3,TSB,1.8,0.9,1.8,0.0,0.0,22.8,2026-03
SKU_0016,Smooth,1,Holt-Winters,147.75,144.37,143.08,115.2,141.0,160.45,2026-01
SKU_0016,Smooth,2,Holt-Winters,151.08,149.04,156.67,115.2,147.0,160.45,2026-02
SKU_0016,Smooth,3,Holt-Winters,168.75,163.88,156.33,115.2,159.0,160.45,2026-03
SKU_0017,Smooth,1,Holt-Winters,72.0,49.5,72.0,72.0,27.0,184.93,2026-01
SKU_0017,Smooth,2,Holt-Winters,72.0,88.5,72.0,72.0,105.0,184.93,2026-02
SKU_0017,Smooth,3,Holt-Winters,72.0,114.0,72.0,72.0,156.0,184.93,2026-03
SKU_0018,Erratic,1,TSB,284180.55,257265.28,284180.55,325251.4,230350.0,229607.71,2026-01
SKU_0018,Erratic,2,TSB,284180.55,241271.78,284180.55,325251.4,198363.0,229607.71,2026-02
SKU_0018,Erratic,3,TSB,284180.55,269275.28,284180.55,325251.4,254370.0,229607.71,2026-03
SKU_0019,Smooth,1,Holt-Winters,104.92,99.96,104.15,131.1,95.0,195.32,2026-01
SKU_0019,Smooth,2,Holt-Winters,100.92,102.46,106.29,131.1,104.0,195.32,2026-02
SKU_0019,Smooth,3,Holt-Winters,92.92,96.46,87.56,131.1,100.0,195.32,2026-03
SKU_0020,Smooth,1,Holt-Winters,1875.68,2522.84,2886.25,2509.9,3170.0,2689.87,2026-01
SKU_0020,Smooth,2,Holt-Winters,1677.5,2211.75,2459.08,2509.9,2746.0,2689.87,2026-02
SKU_0020,Smooth,3,Holt-Winters,2115.27,2450.64,2639.09,2509.9,2786.0,2689.87,2026-03
SKU_0021,Smooth,1,Holt-Winters,410.17,423.08,416.48,535.1,436.0,704.97,2026-01
SKU_0021,Smooth,2,Holt-Winters,402.83,414.92,406.26,535.1,427.0,704.97,2026-02
SKU_0021,Smooth,3,Holt-Winters,404.5,410.25,395.44,535.1,416.0,704.97,2026-03
SKU_0022,Smooth,1,Holt-Winters,1520.8,1088.9,1520.8,1520.8,657.0,1898.69,2026-01
SKU_0022,Smooth,2,Holt-Winters,1520.8,1538.4,1520.8,1520.8,1556.0,1898.69,2026-02
SKU_0022,Smooth,3,Holt-Winters,1520.8,1572.4,1520.8,1520.8,1624.0,1898.69,2026-03
SKU_0023,Smooth,1,Holt-Winters,2054.04,1978.02,1502.57,2494.1,1902.0,2113.32,2026-01
SKU_0023,Smooth,2,Holt-Winters,2116.37,1947.18,1817.41,2494.1,1778.0,2113.32,2026-02
SKU_0023,Smooth,3,Holt-Winters,1803.68,1592.34,1978.82,2494.1,1381.0,2113.32,2026-03
SKU_0024,Lumpy,1,TSB,2.69,3.85,2.69,3.1,5.0,25.65,2026-01
SKU_0024,Lumpy,2,TSB,2.69,5.35,2.69,3.1,8.0,25.65,2026-02
SKU_0024,Lumpy,3,TSB,2.69,1.35,2.69,3.1,0.0,25.65,2026-03
SKU_0025,Smooth,1,Holt-Winters,3896.75,4198.88,2809.62,2815.4,4501.0,2904.15,2026-01
SKU_0025,Smooth,2,Holt-Winters,4196.08,4301.04,3843.77,2815.4,4406.0,2904.15,2026-02
SKU_0025,Smooth,3,Holt-Winters,4053.42,3689.21,4624.44,2815.4,3325.0,2904.15,2026-03
SKU_0026,Smooth,1,Holt-Winters,733.5,693.75,654.0,733.5,654.0,,2026-01
SKU_0026,Smooth,2,Holt-Winters,733.5,693.75,654.0,733.5,654.0,,2026-02
SKU_0026,Smooth,3,Holt-Winters,733.5,693.75,654.0,733.5,654.0,,2026-03
SKU_0027,Smooth,1,Holt-Winters,743.4,777.7,743.4,743.4,812.0,1363.11,2026-01
SKU_0027,Smooth,2,Holt-Winters,743.4,1538.2,743.4,743.4,2333.0,1363.11,2026-02
SKU_0027,Smooth,3,Holt-Winters,743.4,1335.2,743.4,743.4,1927.0,1363.11,2026-03
SKU_0028,Smooth,1,Holt-Winters,136.25,121.63,131.93,183.8,107.0,225.83,2026-01
SKU_0028,Smooth,2,Holt-Winters,113.92,123.46,137.83,183.8,133.0,225.83,2026-02
SKU_0028,Smooth,3,Holt-Winters,94.92,95.46,108.63,183.8,96.0,225.83,2026-03
SKU_0029,Smooth,1,Holt-Winters,723.6,746.8,770.0,723.6,770.0,,2026-01
SKU_0029,Smooth,2,Holt-Winters,723.6,746.8,770.0,723.6,770.0,,2026-02
SKU_0029,Smooth,3,Holt-Winters,723.6,746.8,770.0,723.6,770.0,,2026-03
SKU_0030,Smooth,1,Holt-Winters,680.32,593.66,563.97,766.2,507.0,916.78,2026-01
SKU_0030,Smooth,2,Holt-Winters,611.72,593.36,664.27,766.2,575.0,916.78,2026-02
SKU_0030,Smooth,3,Holt-Winters,603.95,567.48,578.58,766.2,531.0,916.78,2026-03
SKU_0031,Lumpy,1,TSB,35.66,17.83,35.66,0.0,0.0,29.59,2026-01
SKU_0031,Lumpy,2,TSB,35.66,17.83,35.66,0.0,0.0,29.59,2026-02
SKU_0031,Lumpy,3,TSB,35.66,17.83,35.66,0.0,0.0,29.59,2026-03
SKU_0032,Smooth,1,Holt-Winters,1681.67,1692.83,1523.88,1886.4,1704.0,1937.93,2026-01
SKU_0032,Smooth,2,Holt-Winters,1880.67,1894.83,1775.32,1886.4,1909.0,1937.93,2026-02
SKU_0032,Smooth,3,Holt-Winters,1482.33,1433.67,1365.87,1886.4,1385.0,1937.93,2026-03
SKU_0033,Smooth,1,Holt-Winters,4669.66,4309.83,4864.78,4923.6,3950.0,4322.92,2026-01
SKU_0033,Smooth,2,Holt-Winters,4793.35,4766.67,4880.92,4923.6,4740.0,4322.92,2026-02
SKU_0033,Smooth,3,Holt-Winters,4342.84,4185.92,4256.99,4923.6,4029.0,4322.92,2026-03
SKU_0034,Smooth,1,Holt-Winters,687.1,463.05,687.1,687.1,239.0,980.79,2026-01
SKU_0034,Smooth,2,Holt-Winters,687.1,588.05,687.1,687.1,489.0,980.79,2026-02
SKU_0034,Smooth,3,Holt-Winters,687.1,693.55,687.1,687.1,700.0,980.79,2026-03
SKU_0035,Smooth,1,Holt-Winters,354.5,336.25,318.0,354.5,318.0,,2026-01
SKU_0035,Smooth,2,Holt-Winters,354.5,336.25,318.0,354.5,318.0,,2026-02
SKU_0035,Smooth,3,Holt-Winters,354.5,336.25,318.0,354.5,318.0,,2026-03
SKU_0036,Smooth,1,Holt-Winters,337.78,302.89,347.41,267.5,268.0,272.21,2026-01
SKU_0036,Smooth,2,Holt-Winters,482.59,414.29,512.33,267.5,346.0,272.21,2026-02
SKU_0036,Smooth,3,Holt-Winters,426.64,360.82,425.02,267.5,295.0,272.21,2026-03
SKU_0037,Smooth,1,Holt-Winters,337.07,318.53,374.77,396.9,300.0,488.06,2026-01
SKU_0037,Smooth,2,Holt-Winters,294.41,276.7,331.8,396.9,259.0,488.06,2026-02
SKU_0037,Smooth,3,Holt-Winters,285.08,263.54,342.7,396.9,242.0,488.06,2026-03
SKU_0038,Smooth,1,Holt-Winters,133.75,127.37,126.02,104.9,121.0,173.34,2026-01
SKU_0038,Smooth,2,Holt-Winters,157.75,146.37,151.32,104.9,135.0,173.34,2026-02
SKU_0038,Smooth,3,Holt-Winters,169.75,152.37,165.54,104.9,135.0,173.34,2026-03
SKU_0039,Smooth,1,Holt-Winters,1575.66,1484.83,1650.97,1722.1,1394.0,1928.43,2026-01
SKU_0039,Smooth,2,Holt-Winters,1486.34,1570.67,1512.99,1722.1,1655.0,1928.43,2026-02
SKU_0039,Smooth,3,Holt-Winters,1299.33,1203.67,1316.47,1722.1,1108.0,1928.43,2026-03
SKU_0040,Lumpy,1,TSB,9.74,4.87,9.74,6.3,0.0,22.8,2026-01
SKU_0040,Lumpy,2,TSB,9.74,4.87,9.74,6.3,0.0,22.8,2026-02
SKU_0040,Lumpy,3,TSB,9.74,4.87,9.74,6.3,0.0,22.8,2026-03
